"TELFS2","UNEMPLOYRATE","TEAGE","PEEDUCA","PEMARITL","PTDTRACE","CHILD","TESEX","SEASON","WEEKDAY","GEREG"
"Not in the labor force",3.4,60,"Bachelor/Master's and above","Married","Black",0,"female","Summer",1,"South"
"Employed",2.9,31,"High School Degree","Married","Hispanic",1,"female","Summer",0,"West"
"Employed",3.9,48,"Bachelor/Master's and above","Married","White",1,"female","Summer",0,"Midwest"
"Employed",4.4,28,"Bachelor/Master's and above","Not Married","White",0,"male","Summer",0,"Northeast"
"Employed",4,33,"Bachelor/Master's and above","Not Married","White",1,"female","Summer",1,"West"
"Not in the labor force",2.7,56,"High School Degree","Married","White",1,"female","Summer",1,"South"
"Employed",3.1,25,"High School Degree","Not Married","White",1,"male","Summer",1,"South"
"Employed",3.5,48,"Bachelor/Master's and above","Not Married","White",1,"female","Summer",0,"South"
"Employed",4.4,55,"Less than High School","Not Married","Black",0,"male","Summer",1,"Northeast"
"Employed",2.8,46,"High School Degree","Married","White",1,"male","Summer",1,"South"
"Employed",2.9,39,"Bachelor/Master's and above","Married","White",1,"male","Summer",1,"Northeast"
"Employed",3.4,45,"High School Degree","Married","White",1,"male","Summer",0,"South"
"Employed",2.9,43,"Bachelor/Master's and above","Married","White",1,"female","Summer",0,"Northeast"
"Employed",2.7,43,"Bachelor/Master's and above","Married","White",1,"female","Summer",0,"South"
"Employed",3.9,42,"Bachelor/Master's and above","Married","White",1,"male","Summer",0,"Northeast"
"Not in the labor force",4.4,32,"High School Degree","Not Married","Hispanic",1,"female","Summer",1,"Northeast"
"Employed",3.5,30,"Bachelor/Master's and above","Married","White",0,"male","Summer",0,"South"
"Employed",2.8,25,"Bachelor/Master's and above","Not Married","White",0,"female","Summer",0,"South"
"Employed",2.9,39,"Bachelor/Master's and above","Married","Black",0,"female","Summer",1,"Northeast"
"Employed",4,40,"Bachelor/Master's and above","Married","White",1,"male","Summer",0,"West"
"Employed",3.1,60,"Less than High School","Married","Black",0,"female","Summer",1,"South"
"Employed",3.5,53,"Bachelor/Master's and above","Married","White",0,"female","Summer",1,"South"
"Employed",3.4,36,"Bachelor/Master's and above","Not Married","Black",0,"male","Summer",1,"South"
"Employed",3.2,39,"Bachelor/Master's and above","Married","White",1,"female","Summer",1,"Midwest"
"Employed",2.7,39,"Bachelor/Master's and above","Not Married","White",0,"female","Summer",1,"West"
"Unemployed",4.7,59,"High School Degree","Not Married","Hispanic",0,"female","Summer",0,"West"
"Employed",3.4,46,"Bachelor/Master's and above","Married","Asian",1,"female","Summer",0,"South"
"Employed",3.9,38,"Bachelor/Master's and above","Not Married","Asian",0,"male","Summer",0,"Midwest"
"Employed",4,49,"Bachelor/Master's and above","Married","Asian",0,"male","Summer",0,"West"
"Employed",4.2,59,"High School Degree","Married","White",0,"male","Summer",0,"Midwest"
"Employed",2.9,56,"Bachelor/Master's and above","Not Married","Black",0,"male","Summer",1,"Northeast"
"Employed",2.7,35,"Bachelor/Master's and above","Not Married","White",0,"female","Summer",0,"Midwest"
"Employed",3.9,35,"Bachelor/Master's and above","Married","Hispanic",0,"female","Summer",1,"South"
"Employed",3.4,29,"High School Degree","Married","White",1,"male","Summer",1,"South"
"Employed",2.5,28,"Bachelor/Master's and above","Married","White",1,"male","Summer",1,"West"
"Not in the labor force",4.2,34,"High School Degree","Married","White",1,"female","Summer",0,"West"
"Employed",4,44,"Bachelor/Master's and above","Not Married","White",0,"male","Summer",0,"West"
"Not in the labor force",2.8,57,"High School Degree","Married","White",1,"female","Summer",1,"South"
"Employed",3.3,35,"Bachelor/Master's and above","Married","White",1,"female","Summer",0,"Northeast"
"Not in the labor force",4,34,"Bachelor/Master's and above","Married","Hispanic",1,"female","Summer",1,"West"
"Employed",3.7,34,"Bachelor/Master's and above","Married","Black",0,"female","Summer",1,"Northeast"
"Employed",2.9,51,"High School Degree","Not Married","White",0,"female","Summer",0,"Northeast"
"Employed",3.2,50,"Bachelor/Master's and above","Not Married","White",0,"female","Summer",1,"Midwest"
"Employed",2.7,58,"High School Degree","Not Married","Black",0,"female","Summer",1,"South"
"Employed",3.9,28,"High School Degree","Not Married","White",0,"male","Summer",1,"South"
"Employed",3.2,55,"Bachelor/Master's and above","Not Married","White",1,"female","Summer",0,"Midwest"
"Employed",3.4,58,"Bachelor/Master's and above","Not Married","Black",0,"female","Summer",0,"South"
"Employed",3.2,39,"Less than High School","Married","White",0,"female","Summer",1,"Midwest"
"Employed",3.2,30,"Bachelor/Master's and above","Married","White",1,"female","Summer",1,"Midwest"
"Employed",2.8,55,"High School Degree","Married","White",0,"male","Summer",0,"South"
"Employed",4,52,"High School Degree","Not Married","Hispanic",1,"male","Summer",0,"West"
"Employed",3.5,55,"Bachelor/Master's and above","Married","Hispanic",1,"male","Summer",1,"South"
"Employed",3.7,48,"High School Degree","Married","White",1,"female","Summer",1,"West"
"Employed",4.7,48,"High School Degree","Not Married","Hispanic",0,"female","Summer",0,"West"
"Employed",3.9,45,"Bachelor/Master's and above","Not Married","White",0,"male","Summer",0,"South"
"Not in the labor force",3.9,28,"High School Degree","Married","White",1,"female","Summer",0,"Midwest"
"Employed",2.9,55,"Bachelor/Master's and above","Married","Hispanic",0,"male","Summer",0,"Northeast"
"Employed",4,48,"Bachelor/Master's and above","Not Married","Asian",0,"male","Summer",0,"West"
"Employed",3.3,29,"High School Degree","Married","Black",1,"male","Summer",1,"Northeast"
"Employed",3.7,29,"High School Degree","Married","White",1,"male","Summer",1,"West"
"Employed",3.5,33,"Bachelor/Master's and above","Not Married","Black",0,"female","Summer",0,"South"
"Employed",3.4,56,"Bachelor/Master's and above","Not Married","White",0,"female","Summer",0,"South"
"Employed",2.8,33,"Bachelor/Master's and above","Married","White",1,"male","Summer",0,"South"
"Unemployed",3.2,36,"Bachelor/Master's and above","Married","White",1,"female","Summer",1,"Midwest"
"Employed",4,25,"Bachelor/Master's and above","Not Married","Asian",0,"male","Summer",1,"West"
"Employed",2.5,30,"Bachelor/Master's and above","Married","White",1,"female","Summer",1,"West"
"Employed",3.1,26,"High School Degree","Not Married","White",0,"male","Summer",0,"South"
"Employed",2.7,32,"Bachelor/Master's and above","Married","White",1,"male","Summer",1,"South"
"Employed",2.7,55,"High School Degree","Not Married","White",0,"male","Summer",1,"West"
"Employed",3.9,59,"Bachelor/Master's and above","Married","White",0,"male","Summer",0,"Midwest"
"Employed",3.1,57,"Bachelor/Master's and above","Not Married","White",0,"male","Summer",1,"South"
"Employed",3.6,30,"High School Degree","Not Married","Hispanic",0,"male","Summer",0,"South"
"Employed",3.9,39,"Bachelor/Master's and above","Married","White",0,"male","Summer",0,"West"
"Employed",2.6,27,"Bachelor/Master's and above","Married","White",0,"female","Summer",0,"Northeast"
"Employed",3.9,34,"Bachelor/Master's and above","Not Married","Asian",1,"female","Summer",1,"Northeast"
"Employed",4,60,"Less than High School","Not Married","Hispanic",0,"female","Summer",0,"West"
"Employed",3.7,34,"Bachelor/Master's and above","Not Married","Hispanic",1,"female","Summer",1,"West"
"Employed",3.5,57,"High School Degree","Married","White",0,"male","Summer",1,"West"
"Employed",3.5,44,"Less than High School","Married","Hispanic",1,"male","Summer",1,"South"
"Employed",2.7,31,"Bachelor/Master's and above","Not Married","White",1,"female","Summer",0,"South"
"Employed",3.5,36,"Bachelor/Master's and above","Married","White",1,"male","Summer",0,"South"
"Employed",3.5,43,"High School Degree","Married","White",1,"male","Summer",1,"West"
"Employed",3.2,25,"High School Degree","Not Married","Black",0,"male","Summer",1,"Midwest"
"Employed",4.7,37,"Bachelor/Master's and above","Married","White",1,"male","Summer",0,"West"
"Employed",3.1,47,"Bachelor/Master's and above","Married","White",0,"female","Summer",1,"Midwest"
"Employed",3.2,48,"Less than High School","Not Married","White",0,"male","Summer",1,"Midwest"
"Employed",3.9,46,"Bachelor/Master's and above","Married","White",1,"female","Summer",1,"Midwest"
"Employed",3.9,29,"Bachelor/Master's and above","Not Married","White",0,"male","Summer",0,"Midwest"
"Not in the labor force",2.7,46,"Less than High School","Married","Hispanic",1,"female","Summer",0,"South"
"Employed",3.5,46,"Bachelor/Master's and above","Married","Hispanic",1,"female","Summer",1,"South"
"Employed",3.7,34,"Bachelor/Master's and above","Married","White",1,"male","Summer",0,"West"
"Not in the labor force",3.9,39,"Bachelor/Master's and above","Married","White",1,"female","Summer",0,"Midwest"
"Not in the labor force",4.7,54,"Less than High School","Not Married","White",0,"male","Summer",0,"West"
"Employed",3.5,29,"High School Degree","Not Married","Hispanic",0,"male","Summer",0,"South"
"Not in the labor force",4.2,57,"High School Degree","Not Married","White",0,"female","Summer",1,"Midwest"
"Unemployed",4.2,38,"High School Degree","Not Married","White",1,"female","Summer",0,"Midwest"
"Employed",4.7,44,"Bachelor/Master's and above","Not Married","White",0,"male","Summer",1,"South"
"Employed",3.1,38,"Bachelor/Master's and above","Married","White",1,"female","Summer",0,"Midwest"
"Employed",4.2,51,"Bachelor/Master's and above","Married","White",1,"male","Summer",0,"Midwest"
"Employed",2.7,60,"High School Degree","Not Married","White",0,"female","Summer",0,"West"
"Employed",2.9,57,"High School Degree","Married","White",1,"female","Summer",1,"Northeast"
"Not in the labor force",4.2,60,"High School Degree","Not Married","White",0,"male","Summer",0,"Midwest"
"Not in the labor force",3.9,43,"Bachelor/Master's and above","Married","Asian",1,"female","Summer",0,"South"
"Employed",3.4,38,"Bachelor/Master's and above","Married","White",1,"male","Summer",0,"Midwest"
"Employed",4.3,58,"High School Degree","Not Married","White",0,"female","Summer",0,"South"
"Employed",3.7,56,"Bachelor/Master's and above","Not Married","White",0,"female","Summer",1,"West"
"Employed",3.7,44,"High School Degree","Married","White",1,"male","Summer",0,"Northeast"
"Employed",4.4,54,"Bachelor/Master's and above","Married","Asian",1,"male","Summer",1,"Northeast"
"Not in the labor force",2.7,30,"Bachelor/Master's and above","Married","White",1,"female","Summer",1,"South"
"Employed",3.9,60,"Bachelor/Master's and above","Not Married","Black",0,"female","Summer",1,"West"
"Employed",2.6,59,"Bachelor/Master's and above","Not Married","White",0,"female","Summer",1,"Northeast"
"Not in the labor force",3.3,51,"Bachelor/Master's and above","Married","Hispanic",1,"male","Summer",0,"South"
"Employed",3.9,60,"High School Degree","Married","White",0,"female","Summer",0,"South"
"Employed",4.7,48,"Bachelor/Master's and above","Married","Asian",1,"male","Summer",1,"South"
"Not in the labor force",3.1,52,"High School Degree","Married","White",0,"male","Summer",1,"Midwest"
"Not in the labor force",4,46,"Bachelor/Master's and above","Married","Hispanic",1,"female","Summer",1,"West"
"Employed",4,32,"Bachelor/Master's and above","Married","Asian",1,"male","Summer",0,"West"
"Employed",2.7,28,"Bachelor/Master's and above","Not Married","White",0,"male","Summer",0,"South"
"Employed",3.9,38,"Bachelor/Master's and above","Married","White",1,"male","Summer",0,"Midwest"
"Employed",4.4,42,"Bachelor/Master's and above","Not Married","White",0,"male","Summer",1,"Northeast"
"Employed",5.5,27,"Less than High School","Not Married","Black",0,"female","Summer",0,"South"
"Not in the labor force",3.5,28,"Bachelor/Master's and above","Married","White",1,"female","Summer",0,"South"
"Employed",3.2,36,"Bachelor/Master's and above","Not Married","White",0,"female","Summer",0,"Midwest"
"Not in the labor force",3.5,60,"High School Degree","Not Married","White",0,"female","Summer",1,"South"
"Not in the labor force",4,25,"High School Degree","Not Married","Hispanic",0,"female","Summer",1,"West"
"Employed",2.9,38,"High School Degree","Not Married","Asian",1,"female","Summer",0,"Northeast"
"Employed",3.2,42,"Bachelor/Master's and above","Married","White",1,"female","Summer",0,"Midwest"
"Employed",3.1,45,"Bachelor/Master's and above","Married","White",1,"male","Summer",1,"South"
"Employed",3.5,41,"Bachelor/Master's and above","Not Married","Black",1,"male","Summer",0,"South"
"Employed",3.9,31,"High School Degree","Married","White",1,"male","Summer",1,"South"
"Employed",3.2,49,"Bachelor/Master's and above","Not Married","Black",0,"female","Summer",1,"Midwest"
"Employed",2.7,37,"Bachelor/Master's and above","Married","White",1,"male","Summer",0,"South"
"Unemployed",3.1,31,"Bachelor/Master's and above","Married","Black",0,"female","Summer",1,"Midwest"
"Employed",3.4,46,"Bachelor/Master's and above","Married","Asian",1,"male","Summer",0,"South"
"Employed",3.9,59,"Bachelor/Master's and above","Not Married","White",0,"male","Summer",1,"Midwest"
"Employed",4,43,"Bachelor/Master's and above","Not Married","White",0,"female","Summer",0,"West"
"Employed",3.3,45,"Bachelor/Master's and above","Married","Black",1,"male","Summer",0,"Northeast"
"Employed",2.7,40,"Bachelor/Master's and above","Married","White",1,"female","Summer",0,"West"
"Employed",3.3,40,"Bachelor/Master's and above","Married","White",1,"male","Summer",0,"South"
"Employed",2.7,45,"High School Degree","Not Married","Hispanic",1,"female","Summer",0,"West"
"Not in the labor force",4.2,59,"Bachelor/Master's and above","Married","White",1,"female","Summer",0,"Midwest"
"Not in the labor force",4.7,46,"High School Degree","Not Married","Black",1,"male","Summer",0,"West"
"Employed",3.6,34,"High School Degree","Not Married","White",1,"female","Summer",1,"South"
"Employed",4.1,44,"Bachelor/Master's and above","Married","White",1,"male","Summer",1,"Midwest"
"Not in the labor force",4.7,57,"Bachelor/Master's and above","Not Married","Black",0,"male","Summer",0,"South"
"Employed",4.1,51,"Bachelor/Master's and above","Married","White",1,"male","Summer",1,"Midwest"
"Employed",3.2,50,"High School Degree","Not Married","Black",0,"female","Summer",0,"Midwest"
"Employed",2.7,36,"Bachelor/Master's and above","Married","Asian",1,"male","Summer",1,"South"
"Employed",3.8,42,"Bachelor/Master's and above","Married","White",1,"male","Summer",1,"South"
"Employed",3.2,40,"High School Degree","Married","White",1,"male","Summer",1,"Midwest"
"Employed",3.9,59,"Bachelor/Master's and above","Not Married","White",0,"male","Summer",0,"Midwest"
"Employed",4.8,44,"Bachelor/Master's and above","Not Married","Asian",0,"male","Summer",0,"South"
"Employed",3.9,54,"Bachelor/Master's and above","Not Married","White",0,"male","Summer",1,"South"
"Employed",4.1,47,"Bachelor/Master's and above","Not Married","Asian",1,"male","Summer",0,"Midwest"
"Employed",3.4,46,"Bachelor/Master's and above","Married","White",1,"female","Summer",1,"South"
"Employed",4,47,"Bachelor/Master's and above","Not Married","Hispanic",1,"female","Summer",0,"West"
"Unemployed",4,33,"Bachelor/Master's and above","Married","White",1,"female","Summer",0,"West"
"Employed",4.2,43,"High School Degree","Not Married","Hispanic",0,"male","Summer",0,"West"
"Employed",4.2,31,"High School Degree","Not Married","White",0,"male","Summer",1,"Midwest"
"Employed",2.9,39,"Bachelor/Master's and above","Married","White",1,"female","Summer",1,"West"
"Not in the labor force",4.8,35,"Bachelor/Master's and above","Married","White",0,"female","Summer",1,"South"
"Employed",3.9,28,"High School Degree","Not Married","White",0,"male","Summer",1,"Northeast"
"Employed",2.9,46,"Bachelor/Master's and above","Married","White",1,"female","Summer",1,"Northeast"
"Employed",4.3,50,"Bachelor/Master's and above","Married","White",1,"male","Summer",0,"South"
"Employed",3.4,60,"Bachelor/Master's and above","Married","White",0,"female","Summer",1,"Midwest"
"Employed",4.3,46,"Bachelor/Master's and above","Not Married","Asian",0,"female","Summer",0,"South"
"Employed",3.3,55,"High School Degree","Married","White",0,"male","Summer",0,"Northeast"
"Employed",3.1,27,"Bachelor/Master's and above","Not Married","White",0,"male","Summer",1,"South"
"Not in the labor force",4,50,"High School Degree","Married","Asian",1,"male","Summer",1,"West"
"Employed",2.9,35,"Bachelor/Master's and above","Married","White",1,"male","Summer",0,"Northeast"
"Employed",3.9,58,"Bachelor/Master's and above","Married","White",0,"male","Summer",1,"Midwest"
"Not in the labor force",3.6,52,"High School Degree","Not Married","Black",0,"male","Summer",0,"South"
"Employed",3.4,57,"Bachelor/Master's and above","Married","White",0,"female","Summer",0,"South"
"Employed",2.7,44,"Bachelor/Master's and above","Married","Hispanic",1,"female","Summer",0,"West"
"Employed",2.7,45,"Bachelor/Master's and above","Married","White",1,"female","Summer",0,"South"
"Employed",3.2,32,"High School Degree","Not Married","White",1,"male","Summer",1,"Midwest"
"Employed",2.5,39,"Bachelor/Master's and above","Married","White",1,"male","Summer",1,"South"
"Not in the labor force",3.5,30,"High School Degree","Not Married","Hispanic",0,"female","Summer",1,"Northeast"
"Employed",4.2,42,"Bachelor/Master's and above","Married","White",1,"male","Summer",0,"West"
"Not in the labor force",3,36,"Bachelor/Master's and above","Married","Hispanic",1,"female","Summer",1,"South"
"Employed",3.5,31,"Bachelor/Master's and above","Married","Hispanic",1,"female","Summer",0,"Northeast"
"Employed",3.5,40,"High School Degree","Married","Hispanic",1,"female","Summer",0,"South"
"Employed",3.9,45,"Bachelor/Master's and above","Married","White",1,"female","Summer",1,"Northeast"
"Employed",3.5,50,"Bachelor/Master's and above","Married","White",1,"male","Summer",1,"South"
"Employed",4.6,53,"Bachelor/Master's and above","Married","White",0,"female","Summer",0,"West"
"Employed",4.5,26,"Bachelor/Master's and above","Not Married","White",1,"female","Summer",0,"Northeast"
"Employed",3.5,40,"Bachelor/Master's and above","Married","Hispanic",1,"male","Summer",1,"South"
"Employed",3.9,39,"High School Degree","Not Married","Hispanic",0,"male","Summer",1,"West"
"Employed",3.2,43,"Bachelor/Master's and above","Married","White",1,"male","Summer",0,"Midwest"
"Employed",3.9,41,"High School Degree","Married","Hispanic",1,"female","Summer",0,"West"
"Employed",2.5,46,"High School Degree","Not Married","White",0,"male","Summer",0,"West"
"Employed",2.8,44,"High School Degree","Not Married","White",1,"male","Summer",0,"South"
"Not in the labor force",5.5,58,"High School Degree","Married","Black",0,"male","Summer",0,"South"
"Employed",4.2,33,"Bachelor/Master's and above","Married","White",1,"male","Summer",1,"West"
"Not in the labor force",4.6,25,"Bachelor/Master's and above","Not Married","Hispanic",1,"female","Summer",1,"West"
"Employed",3,56,"High School Degree","Not Married","Hispanic",0,"male","Summer",1,"South"
"Employed",3.9,50,"Bachelor/Master's and above","Not Married","Hispanic",0,"female","Summer",0,"Northeast"
"Employed",2.5,54,"High School Degree","Not Married","Black",0,"male","Summer",1,"South"
"Not in the labor force",3.9,48,"Less than High School","Not Married","White",0,"female","Summer",0,"Northeast"
"Employed",3.5,31,"Bachelor/Master's and above","Not Married","Hispanic",1,"female","Summer",0,"South"
"Employed",2.8,58,"High School Degree","Not Married","White",0,"male","Summer",0,"Northeast"
"Employed",4.2,37,"High School Degree","Not Married","White",1,"male","Summer",1,"West"
"Employed",2.7,48,"Bachelor/Master's and above","Married","White",1,"female","Summer",0,"South"
"Employed",4.2,50,"Bachelor/Master's and above","Married","White",1,"male","Summer",0,"West"
"Employed",3.8,25,"Bachelor/Master's and above","Not Married","White",0,"male","Summer",0,"South"
"Employed",3.6,56,"Bachelor/Master's and above","Married","Hispanic",0,"female","Summer",0,"South"
"Employed",3.8,53,"Bachelor/Master's and above","Married","White",1,"female","Summer",0,"South"
"Employed",3.9,48,"High School Degree","Married","Hispanic",1,"male","Summer",1,"West"
"Employed",3.5,46,"Bachelor/Master's and above","Married","Hispanic",1,"female","Summer",1,"South"
"Employed",3.5,47,"Bachelor/Master's and above","Married","Black",1,"male","Summer",1,"South"
"Employed",3.4,28,"High School Degree","Not Married","White",1,"male","Summer",1,"South"
"Employed",3.9,35,"Bachelor/Master's and above","Not Married","White",0,"male","Summer",1,"Northeast"
"Employed",4.5,41,"Bachelor/Master's and above","Married","White",1,"female","Summer",0,"Northeast"
"Employed",3.9,45,"Bachelor/Master's and above","Married","White",1,"female","Summer",0,"West"
"Not in the labor force",4.5,58,"Bachelor/Master's and above","Married","White",0,"female","Summer",1,"Northeast"
"Not in the labor force",3.9,38,"Bachelor/Master's and above","Married","White",1,"female","Summer",0,"West"
"Employed",2.9,28,"Bachelor/Master's and above","Not Married","White",0,"male","Summer",0,"Northeast"
"Employed",3.9,40,"Bachelor/Master's and above","Not Married","White",1,"female","Summer",0,"West"
"Employed",3.9,55,"Bachelor/Master's and above","Married","Asian",0,"male","Summer",0,"West"
"Employed",2.5,27,"Bachelor/Master's and above","Married","White",1,"male","Summer",1,"South"
"Employed",4.8,28,"High School Degree","Not Married","Hispanic",1,"female","Summer",1,"West"
"Employed",4,32,"Bachelor/Master's and above","Married","White",1,"female","Summer",0,"Midwest"
"Employed",3.6,33,"Bachelor/Master's and above","Married","White",1,"male","Summer",0,"South"
"Employed",3.8,48,"High School Degree","Married","Hispanic",0,"male","Summer",1,"South"
"Employed",4.5,27,"Bachelor/Master's and above","Married","White",1,"male","Summer",0,"Northeast"
"Employed",3.5,51,"High School Degree","Married","Hispanic",0,"female","Summer",0,"South"
"Not in the labor force",5.5,26,"Bachelor/Master's and above","Married","White",0,"female","Summer",1,"South"
"Employed",2.7,53,"Bachelor/Master's and above","Married","White",0,"female","Summer",0,"South"
"Employed",3,37,"Bachelor/Master's and above","Not Married","Hispanic",0,"female","Summer",0,"South"
"Employed",3.8,32,"Bachelor/Master's and above","Married","White",0,"male","Summer",0,"South"
"Employed",3.5,37,"Bachelor/Master's and above","Married","White",0,"male","Summer",1,"Northeast"
"Employed",3.5,60,"Bachelor/Master's and above","Married","White",0,"male","Summer",1,"Northeast"
"Employed",3.9,53,"Bachelor/Master's and above","Married","White",1,"male","Summer",1,"West"
"Employed",3,48,"Bachelor/Master's and above","Married","Asian",0,"male","Summer",0,"South"
"Employed",3,41,"Bachelor/Master's and above","Married","Hispanic",0,"male","Summer",0,"South"
"Employed",4.3,47,"High School Degree","Married","White",0,"female","Summer",0,"South"
"Employed",3,35,"Bachelor/Master's and above","Married","White",1,"female","Summer",1,"South"
"Employed",3.2,38,"High School Degree","Married","White",1,"male","Summer",0,"Midwest"
"Employed",4.2,33,"Bachelor/Master's and above","Married","White",1,"male","Summer",0,"Midwest"
"Employed",3.2,38,"High School Degree","Married","White",1,"male","Summer",0,"Midwest"
"Employed",3.5,29,"Bachelor/Master's and above","Married","White",0,"female","Summer",0,"South"
"Employed",3,33,"Bachelor/Master's and above","Not Married","White",0,"male","Summer",0,"South"
"Not in the labor force",3.9,55,"High School Degree","Not Married","Hispanic",0,"female","Summer",1,"West"
"Employed",2.8,47,"High School Degree","Married","Black",1,"male","Summer",0,"Northeast"
"Not in the labor force",3.2,59,"Bachelor/Master's and above","Married","White",0,"female","Summer",0,"Midwest"
"Not in the labor force",3.9,43,"Less than High School","Married","Hispanic",1,"female","Summer",1,"West"
"Employed",4.2,29,"High School Degree","Not Married","White",1,"male","Summer",1,"West"
"Employed",3.3,34,"High School Degree","Married","White",1,"female","Summer",0,"South"
"Employed",4,41,"Bachelor/Master's and above","Married","Asian",1,"male","Summer",0,"Midwest"
"Employed",3.3,30,"High School Degree","Married","White",1,"male","Summer",0,"South"
"Employed",4.2,34,"Bachelor/Master's and above","Married","White",1,"female","Summer",0,"Midwest"
"Not in the labor force",4.5,52,"Bachelor/Master's and above","Married","White",1,"female","Summer",0,"Northeast"
"Employed",3.7,41,"High School Degree","Not Married","White",0,"male","Summer",1,"Northeast"
"Employed",2.5,32,"Bachelor/Master's and above","Married","White",1,"female","Summer",0,"South"
"Not in the labor force",4.6,33,"High School Degree","Not Married","White",0,"male","Summer",0,"West"
"Employed",3.9,43,"Bachelor/Master's and above","Not Married","Hispanic",0,"male","Summer",0,"Northeast"
"Employed",4.2,52,"Bachelor/Master's and above","Married","White",1,"female","Summer",0,"Midwest"
"Employed",4.2,42,"Bachelor/Master's and above","Married","White",1,"female","Summer",0,"Midwest"
"Employed",3.3,46,"Bachelor/Master's and above","Married","Black",1,"female","Summer",0,"South"
"Employed",4.3,60,"High School Degree","Not Married","White",0,"male","Summer",1,"South"
"Not in the labor force",3.5,45,"Bachelor/Master's and above","Married","Hispanic",1,"female","Summer",0,"South"
"Not in the labor force",4.2,41,"High School Degree","Not Married","White",0,"female","Summer",0,"Midwest"
"Employed",3,39,"Bachelor/Master's and above","Not Married","White",0,"male","Summer",0,"South"
"Employed",3.3,25,"Less than High School","Married","Hispanic",1,"male","Summer",0,"South"
"Employed",4.9,28,"Bachelor/Master's and above","Married","White",1,"female","Summer",1,"South"
"Employed",2.8,43,"Bachelor/Master's and above","Married","Hispanic",1,"male","Summer",0,"Midwest"
"Not in the labor force",3.9,36,"Bachelor/Master's and above","Married","White",1,"female","Summer",0,"West"
"Employed",3,40,"High School Degree","Married","White",0,"male","Summer",0,"South"
"Employed",4.3,40,"Bachelor/Master's and above","Married","White",1,"male","Summer",0,"South"
"Employed",4.5,32,"Bachelor/Master's and above","Married","White",0,"male","Summer",1,"Northeast"
"Not in the labor force",3.8,59,"High School Degree","Not Married","White",0,"male","Summer",1,"Midwest"
"Employed",3.6,42,"Bachelor/Master's and above","Married","White",1,"female","Summer",1,"South"
"Not in the labor force",3.6,50,"Less than High School","Not Married","Black",0,"female","Summer",1,"South"
"Employed",4.5,33,"High School Degree","Not Married","Black",1,"female","Summer",0,"Northeast"
"Employed",3.7,41,"Bachelor/Master's and above","Not Married","Hispanic",0,"female","Summer",1,"Northeast"
"Not in the labor force",3.9,36,"High School Degree","Not Married","Black",1,"male","Summer",1,"Northeast"
"Not in the labor force",2.6,57,"High School Degree","Married","White",0,"female","Summer",0,"West"
"Employed",4.5,43,"Bachelor/Master's and above","Not Married","Black",1,"male","Summer",1,"Northeast"
"Employed",3.9,29,"High School Degree","Not Married","White",0,"female","Summer",0,"Northeast"
"Unemployed",3.8,36,"High School Degree","Not Married","Black",0,"male","Summer",1,"Midwest"
"Not in the labor force",3.9,41,"Bachelor/Master's and above","Married","White",1,"female","Summer",1,"Northeast"
"Employed",2.6,52,"High School Degree","Married","White",1,"male","Summer",0,"West"
"Employed",4,51,"Bachelor/Master's and above","Not Married","Hispanic",0,"female","Summer",0,"Midwest"
"Not in the labor force",3.9,51,"Bachelor/Master's and above","Not Married","White",0,"female","Summer",0,"Northeast"
"Not in the labor force",3.9,55,"Bachelor/Master's and above","Married","White",0,"female","Summer",0,"Northeast"
"Employed",3.5,39,"Less than High School","Not Married","Hispanic",1,"female","Summer",1,"South"
"Employed",4.2,26,"High School Degree","Married","White",0,"male","Summer",1,"Midwest"
"Not in the labor force",4.9,49,"Less than High School","Not Married","White",0,"female","Summer",0,"South"
"Employed",4.9,38,"Bachelor/Master's and above","Not Married","White",0,"male","Summer",0,"South"
"Employed",2.6,40,"High School Degree","Not Married","White",0,"male","Summer",0,"West"
"Employed",4.6,26,"High School Degree","Not Married","Black",0,"female","Summer",1,"West"
"Not in the labor force",4.9,32,"High School Degree","Married","Hispanic",1,"female","Summer",1,"South"
"Employed",3.6,47,"High School Degree","Not Married","White",0,"female","Summer",0,"South"
"Employed",3.8,58,"Bachelor/Master's and above","Married","White",0,"female","Summer",0,"Midwest"
"Employed",3.9,46,"Bachelor/Master's and above","Married","White",0,"male","Summer",0,"West"
"Employed",5.5,57,"High School Degree","Not Married","Black",0,"male","Summer",0,"South"
"Employed",3.5,43,"High School Degree","Married","Hispanic",1,"female","Summer",0,"South"
"Employed",3.9,49,"High School Degree","Married","White",1,"female","Summer",0,"West"
"Employed",3.6,29,"Less than High School","Married","White",1,"male","Summer",0,"West"
"Employed",3.8,54,"High School Degree","Married","White",0,"male","Summer",1,"South"
"Employed",3.5,49,"Bachelor/Master's and above","Not Married","White",1,"female","Summer",1,"South"
"Not in the labor force",3.9,33,"High School Degree","Married","Hispanic",1,"female","Summer",0,"West"
"Employed",3.8,31,"Less than High School","Married","Hispanic",1,"male","Summer",0,"West"
"Not in the labor force",3.9,43,"Less than High School","Not Married","Hispanic",1,"female","Summer",0,"West"
"Employed",3.5,53,"Bachelor/Master's and above","Not Married","White",1,"female","Summer",1,"Northeast"
"Not in the labor force",3.4,60,"Bachelor/Master's and above","Married","White",0,"female","Summer",0,"South"
"Not in the labor force",2.4,32,"High School Degree","Not Married","White",1,"female","Summer",1,"Midwest"
"Employed",3.1,43,"High School Degree","Not Married","White",1,"male","Summer",1,"Midwest"
